YEAR,Car_Age,MILEAGE,CAR_PRICE
2000,23,77891,13995
2001,22,161000,8995
2002,21,104770,10795
2003,20,65620,16495
2004,19,81610,17991
2005,18,30471,22988
2006,17,145000,12988
2007,16,124000,16000
2008,15,65405,22995
2009,14,33015,29990
2010,13,38995,33400
2011,12,20900,35995
2012,11,101245,25637
2013,10,45048,35590
2014,9,41612,37990
2015,8,68289,33900
2016,7,38287,48448
2017,6,22749,49950
2018,5,44727,49590
2019,4,7367,64200
2020,3,25596,62880
2021,2,980,64997
2022,1,22000,80955
2023,0,0,109170