Timestamp,GPA,Music_With_Homework,Minutes,Music_Type
10/29/2023 23:39:22,3.5,No,10,Upbeat
10/31/2023 16:16:23,4.1,Yes,180,Chill
10/31/2023 16:17:13,4,Yes,60,Upbeat
10/31/2023 16:18:40,3.1,Yes,100,Chill
10/31/2023 16:19:31,2.68,Yes,210,Chill
10/31/2023 16:19:46,3.49,Yes,60,Upbeat
10/31/2023 16:21:00,3.4,Yes,60,Upbeat
10/31/2023 16:21:32,3.7,Yes,180,Chill
10/31/2023 16:21:52,3.14,Yes,120,Upbeat
10/31/2023 16:22:04,3.8,Yes,60,Chill
10/31/2023 16:22:40,3.3,Yes,5,Chill
10/31/2023 16:22:52,3.98,Yes,60,Chill
10/31/2023 16:24:36,3.6,Yes,30,Upbeat
10/31/2023 16:24:59,3.5,Yes,300,Chill
10/31/2023 16:28:15,3,Yes,120,Chill
10/31/2023 9:30:17,3.93,Yes,75,Chill
10/31/2023 9:30:19,3.5,Yes,120,Upbeat
10/31/2023 9:31:36,4,Yes,45,Upbeat
10/31/2023 9:32:28,3,Yes,120,Chill
10/31/2023 9:32:51,4,Yes,60,Upbeat
10/31/2023 9:33:44,2.8,Yes,59,Upbeat
10/31/2023 9:34:13,3,Yes,140,Chill
10/31/2023 9:35:04,3.2,Yes,60,Upbeat
10/31/2023 9:35:42,3.8,Yes,180,Chill
10/31/2023 9:35:57,4,Yes,100,Chill
10/31/2023 9:38:36,3.7,Yes,120,Chill
10/31/2023 9:46:43,3.4,Yes,35,Chill
10/31/2023 9:48:14,3.8,Yes,90,Upbeat
10/31/2023 9:49:49,2,Yes,60,Chill
10/31/2023 9:50:15,3.6,Yes,350,Upbeat
10/31/2023 9:50:16,4,Yes,90,Upbeat
10/31/2023 9:53:17,3.6,Yes,30,Chill
10/31/2023 9:55:13,3.95,Yes,60,Chill
10/31/2023 10:02:30,3.8,Yes,60,Chill
10/31/2023 10:03:56,4,Yes,60,Upbeat
10/31/2023 10:04:02,4,Yes,120,Chill
10/31/2023 10:05:30,3.4,Yes,1,Chill
10/31/2023 10:08:08,4,Yes,60,Chill
10/31/2023 10:08:54,3.93,Yes,200,Upbeat
10/31/2023 10:10:17,2,Yes,20,Upbeat
10/31/2023 10:11:22,3.6,Yes,30,Upbeat
10/31/2023 10:13:58,4,Yes,160,Upbeat
10/31/2023 10:14:16,4,Yes,120,Chill
10/31/2023 10:14:25,2.6,Yes,180,Upbeat
10/31/2023 10:14:29,3.8,Yes,60,Chill
10/31/2023 10:14:55,3.8,Yes,120,Upbeat
10/31/2023 10:15:21,4,Yes,200,Upbeat
10/31/2023 10:15:31,3,Yes,120,Chill
10/31/2023 10:15:53,4,Yes,60,Upbeat
10/31/2023 10:15:56,4,Yes,120,Upbeat
10/31/2023 10:16:50,3.4,Yes,30,Chill
10/31/2023 10:17:02,3.25,Yes,120,Chill
10/31/2023 10:17:05,3.83,Yes,110,Chill
10/31/2023 10:17:05,3.5,Yes,30,Chill
10/31/2023 10:17:55,3.2,Yes,80,Chill
10/31/2023 10:18:33,3.5,Yes,60,Upbeat
10/31/2023 10:20:46,3.25,Yes,120,Chill
10/31/2023 10:20:53,3.8,Yes,120,Upbeat
10/31/2023 10:22:49,4,Yes,240,Chill
10/31/2023 10:23:13,3.57,Yes,180,Chill
10/31/2023 10:27:12,4,Yes,90,Chill
10/31/2023 10:27:17,3.5,Yes,120,Chill
10/31/2023 10:27:43,4,Yes,270,Upbeat
10/31/2023 10:27:49,3.8,Yes,240,Chill
10/31/2023 10:27:58,3.5,No,0,Chill
10/31/2023 10:28:00,3.2,Yes,120,Upbeat
10/31/2023 10:28:00,2.12,Yes,120,Upbeat
10/31/2023 10:28:03,3,Yes,80,Upbeat
10/31/2023 10:28:08,3.4,Yes,200,Upbeat
10/31/2023 10:28:20,3.8,No,0,Chill
10/31/2023 10:28:22,4.16,Yes,115,Upbeat
10/31/2023 10:28:25,2.8,Yes,120,Upbeat
10/31/2023 10:28:29,3.4,Yes,45,Upbeat
10/31/2023 10:29:33,3.7,Yes,20,Upbeat
10/31/2023 10:30:19,3.6,Yes,30,Upbeat
10/31/2023 10:30:37,3.5,Yes,60,Chill
10/31/2023 10:30:53,3.4,Yes,180,Upbeat
10/31/2023 10:31:10,3.8,Yes,120,Chill
10/31/2023 10:32:25,3.5,Yes,60,Chill
10/31/2023 10:33:13,3.9,No,0,Chill
10/31/2023 10:33:22,3.1,Yes,120,Upbeat
10/31/2023 10:33:28,4,No,0,Upbeat
10/31/2023 10:34:05,3.5,Yes,60,Upbeat
10/31/2023 10:34:07,4,Yes,150,Upbeat
10/31/2023 10:34:21,4,Yes,120,Chill
10/31/2023 10:35:54,3.68,Yes,120,Upbeat
10/31/2023 10:35:55,3.8,No,0,Chill
10/31/2023 10:36:05,3.5,Yes,180,Chill
10/31/2023 10:36:40,4,Yes,2,Upbeat
10/31/2023 10:37:06,3.8,Yes,360,Upbeat
10/31/2023 10:39:06,3.4,Yes,120,Upbeat
10/31/2023 10:39:26,4.15,Yes,60,Chill
10/31/2023 10:39:29,2.85,Yes,120,Upbeat
10/31/2023 10:39:35,3.9,Yes,120,Chill
10/31/2023 10:39:46,4,Yes,120,Chill
10/31/2023 10:40:31,3.6,Yes,60,Chill
10/31/2023 10:40:38,2.9,Yes,180,Upbeat
10/31/2023 10:41:00,2.87,Yes,120,Upbeat
10/31/2023 10:41:08,3.2,Yes,180,Chill
10/31/2023 10:41:36,2.4,Yes,180,Chill
10/31/2023 10:41:58,3.7,Yes,120,Upbeat
10/31/2023 10:42:07,3.8,Yes,120,Upbeat
10/31/2023 10:42:24,3.5,Yes,240,Upbeat
10/31/2023 10:42:30,2.5,Yes,45,Chill
10/31/2023 10:42:39,3.12,Yes,120,Chill
10/31/2023 10:42:45,2,Yes,130,Upbeat
10/31/2023 10:44:44,3.9,Yes,60,Upbeat
10/31/2023 10:45:37,3.2,Yes,100,Upbeat
10/31/2023 10:46:45,3.2,No,0,Chill
10/31/2023 10:46:58,4,Yes,180,Upbeat
10/31/2023 10:47:10,3.4,Yes,180,Upbeat
10/31/2023 10:48:46,3.5,Yes,50,Upbeat
10/31/2023 10:49:36,2.9,Yes,60,Chill
10/31/2023 10:50:00,3.4,Yes,60,Chill
10/31/2023 10:50:58,4,Yes,60,Chill
10/31/2023 10:51:03,2.6,Yes,90,Chill
10/31/2023 10:51:07,3.6,Yes,180,Upbeat
10/31/2023 10:52:34,3.6,Yes,20,Upbeat
10/31/2023 10:53:01,3.5,Yes,120,Chill
10/31/2023 10:53:05,2.8,Yes,120,Upbeat
10/31/2023 10:53:14,3.5,Yes,60,Chill
10/31/2023 10:55:01,4.16,Yes,90,Chill
10/31/2023 10:55:06,4,Yes,120,Chill
10/31/2023 10:56:24,2.9,Yes,180,Upbeat
10/31/2023 10:56:27,3.7,Yes,90,Upbeat
10/31/2023 10:57:18,4,Yes,60,Upbeat
10/31/2023 10:57:40,3.5,Yes,120,Upbeat
10/31/2023 11:01:25,4,Yes,60,Chill
10/31/2023 11:03:07,3,Yes,540,Chill
10/31/2023 11:04:20,3,Yes,180,Chill
10/31/2023 11:05:57,2.9,Yes,30,Upbeat
10/31/2023 11:07:19,3.2,No,20,Chill
10/31/2023 11:10:35,3.4,Yes,135,Upbeat
10/31/2023 11:11:30,3.83,No,0,Chill
10/31/2023 11:11:33,3.95,Yes,120,Chill
10/31/2023 11:12:07,3.9,Yes,60,Chill
10/31/2023 11:12:35,3.6,No,0,Chill
10/31/2023 11:14:35,3.6,Yes,50,Chill
10/31/2023 11:23:31,3.47,Yes,180,Chill
10/31/2023 11:26:21,3.9,Yes,120,Upbeat
10/31/2023 11:29:29,3.86,Yes,60,Upbeat
10/31/2023 11:34:18,3.7,Yes,180,Chill
10/31/2023 11:37:29,3.1,Yes,60,Upbeat
10/31/2023 11:38:12,4,Yes,120,Upbeat
10/31/2023 11:38:13,3.5,Yes,120,Upbeat
10/31/2023 11:38:23,3.2,Yes,120,Upbeat
10/31/2023 11:38:32,4,No,120,Chill
10/31/2023 11:39:05,3.57,No,0,Upbeat
10/31/2023 11:42:00,3.8,No,0,Upbeat
10/31/2023 11:54:39,3,Yes,180,Chill
10/31/2023 11:55:10,3.1,Yes,30,Chill
10/31/2023 11:55:11,3.03,Yes,180,Upbeat
10/31/2023 11:56:30,4,Yes,180,Chill
10/31/2023 12:08:17,4,Yes,90,Upbeat
10/31/2023 12:17:57,4.1,No,0,Chill
10/31/2023 12:21:32,3.3,Yes,90,Upbeat
10/31/2023 12:23:44,3,Yes,90,Upbeat
10/31/2023 12:33:39,3.5,No,20,Chill
10/31/2023 12:37:24,3.78,Yes,40,Chill
10/31/2023 12:56:06,4.25,No,20,Upbeat
10/31/2023 12:56:07,3,Yes,20,Chill
10/31/2023 12:59:06,4,Yes,300,Chill
10/31/2023 13:11:51,3,Yes,120,Upbeat
10/31/2023 13:35:50,3.5,Yes,60,Chill
10/31/2023 13:39:51,3,Yes,90,Chill
10/31/2023 13:40:35,4,Yes,60,Chill
10/31/2023 13:43:35,3.5,Yes,120,Chill
10/31/2023 14:11:01,3.38,No,0,Upbeat
10/31/2023 14:25:18,3.5,Yes,180,Chill
10/31/2023 14:36:59,3.7,Yes,50,Chill
10/31/2023 14:55:39,3.75,Yes,300,Upbeat
10/31/2023 15:13:05,3.5,Yes,160,Chill
10/31/2023 16:02:44,3.4,Yes,160,Chill
10/31/2023 17:09:15,4.5,Yes,60,Chill
10/31/2023 17:17:27,4,Yes,1440,Chill
10/31/2023 17:18:25,4,Yes,120,Chill
10/31/2023 17:49:08,3.9,Yes,180,Upbeat
10/31/2023 17:56:14,3.5,Yes,30,Chill
10/31/2023 18:00:03,3.26,No,0,Upbeat
10/31/2023 18:00:48,3.15,No,0,Upbeat
10/31/2023 18:08:56,4,Yes,30,Chill
10/31/2023 19:10:16,4,Yes,30,Chill
10/31/2023 19:12:41,3.9,No,0,Chill
10/31/2023 19:12:41,4,Yes,60,Chill
10/31/2023 19:56:13,4,No,0,Upbeat
10/31/2023 20:04:26,3,Yes,7,Chill
10/31/2023 20:09:01,3.5,Yes,60,Upbeat
10/31/2023 20:26:15,3.95,Yes,61,Upbeat
10/31/2023 20:37:57,3.65,Yes,180,Upbeat
10/31/2023 20:50:31,3.5,No,0,Upbeat
10/31/2023 21:07:33,3,Yes,120,Upbeat
10/31/2023 21:08:58,2,Yes,30,Chill
10/31/2023 21:12:45,3,Yes,120,Chill
10/31/2023 21:16:33,3.3,Yes,120,Chill
10/31/2023 21:16:44,3.7,Yes,300,Upbeat
10/31/2023 21:19:21,3.7,Yes,120,Upbeat
10/31/2023 21:21:42,3.2,Yes,100,Upbeat
10/31/2023 21:22:42,3.8,Yes,120,Chill
10/31/2023 21:23:13,3.5,Yes,60,Upbeat
10/31/2023 21:23:14,3.8,Yes,60,Upbeat