Date,Day of the week,App (Use all CAPITALS),Minutes,Category
8/29,Tuesday,ALEKS,149,Education
8/29,Tuesday,YOUTUBE,105,Entertainment
8/29,Tuesday,MESSAGES ,51,Other
8/29,Tuesday,GOOGLE_DRIVE ,46,Education
8/29,Tuesday,CRUNCHYROLL,44,Entertainment
8/29,Tuesday,TIKTOK,41,Entertainment
8/29,Tuesday,AMAZON,33,Other
8/29,Tuesday,SAFARI,32,Education
8/29,Tuesday,SPOTIFY,31,Entertainment
8/29,Tuesday,DISCORD,15,Social Media
8/29,Tuesday,INSTAGRAM,5,Social Media
8/30,Wednesday,CANVAS,93,Education
8/30,Wednesday,MESSAGES ,63,Other
8/30,Wednesday,GOOGLE_DRIVE ,40,Education
8/30,Wednesday,ALEKS,25,Education
8/30,Wednesday,SPOTIFY,25,Entertainment
8/30,Wednesday,INSTAGRAM,23,Social Media
8/30,Wednesday,TIKTOK,21,Entertainment
8/30,Wednesday,CAMERA ,5,Other
8/30,Wednesday,EXPERT_TA,5,Education
8/31,Thursday,ALEKS,322,Education
8/31,Thursday,NETFLIX,50,Entertainment
8/31,Thursday,GOOGLE_DRIVE ,48,Education
8/31,Thursday,CRUNCHYROLL,47,Entertainment
8/31,Thursday,MESSAGES ,43,Other
8/31,Thursday,YOUTUBE,41,Entertainment
8/31,Thursday,SAFARI,40,Education
8/31,Thursday,SPOTIFY,34,Entertainment
8/31,Thursday,CAMERA ,33,Other
8/31,Thursday,INSTAGRAM,31,Social Media
8/31,Thursday,PHOTOMATH,23,Education
8/31,Thursday,TIKTOK,17,Entertainment
8/31,Thursday,DISCORD,7,Social Media
8/31,Thursday,PHOTOS,7,Other
9/1,Friday,TIKTOK,88,Entertainment
9/1,Friday,CANVAS,51,Education
9/1,Friday,SAFARI,42,Education
9/1,Friday,MESSAGES ,42,Other
9/1,Friday,SPOTIFY,28,Entertainment
9/1,Friday,INSTAGRAM,23,Social Media
9/1,Friday,YOUTUBE,8,Entertainment
9/2,Saturday,TIKTOK,53,Entertainment
9/2,Saturday,MESSAGES ,31,Other
9/2,Saturday,INSTAGRAM,31,Social Media
9/2,Saturday,CRUNCHYROLL,28,Entertainment
9/2,Saturday,SAFARI,23,Education
9/2,Saturday,SPOTIFY,16,Entertainment
9/2,Saturday,YOUTUBE,9,Entertainment
9/3,Sunday,SPOTIFY,79,Entertainment
9/3,Sunday,TIKTOK,77,Entertainment
9/3,Sunday,CRUNCHYROLL,74,Entertainment
9/3,Sunday,YOUTUBE,62,Entertainment
9/3,Sunday,SAFARI,48,Education
9/3,Sunday,INSTAGRAM,48,Social Media
9/3,Sunday,MESSAGES ,22,Other
9/4,Monday,SPOTIFY,52,Entertainment
9/4,Monday,TIKTOK,46,Entertainment
9/4,Monday,INSTAGRAM,27,Social Media
9/4,Monday,GOOGLE_DOCS,23,Education
9/4,Monday,MESSAGES ,20,Other
9/4,Monday,YOUTUBE,19,Entertainment
9/5,Tuesday,MESSAGES ,94,Other
9/5,Tuesday,SPOTIFY,75,Entertainment
9/5,Tuesday,INSTAGRAM,53,Social Media
9/5,Tuesday,YOUTUBE,21,Entertainment